Hour,$/MWh,Power_for_4cars (kw),Charging_Loads(kwh),Charging_Costs ($)
12:00:00 AM,15.39,0.00,0.00,0.00
1:00:00 AM,15.47,0.00,0.00,0.00
2:00:00 AM,14.94,0.00,0.00,0.00
3:00:00 AM,14.95,0.00,0.00,0.00
4:00:00 AM,14.19,0.00,0.00,0.00
5:00:00 AM,6.58,0.00,0.00,0.00
6:00:00 AM,-3.48,0.00,0.00,0.00
6:08:00 AM,-3.48,0.00,0.00,0.00
6:09:00 AM,-3.48,600.00,0.00,0.00
7:00:00 AM,-52.70,600.00,510.00,-1.77
7:30:00 AM,-52.70,600.00,810.00,-17.58
8:00:00 AM,-7.79,600.00,1110.00,-33.39
8:01:00 AM,-7.79,0.00,1110.00,-33.39
9:00:00 AM,16.47,0.00,1110.00,-33.39
10:00:00 AM,21.14,0.00,1110.00,-33.39
11:00:00 AM,15.88,0.00,1110.00,-33.39
12:00:00 PM,17.89,0.00,1110.00,-33.39
1:00:00 PM,18.63,0.00,1110.00,-33.39
2:00:00 PM,19.31,0.00,1110.00,-33.39
3:00:00 PM,19.63,0.00,1110.00,-33.39
4:00:00 PM,45.75,0.00,1110.00,-33.39
5:00:00 PM,38.59,0.00,1110.00,-33.39
6:00:00 PM,39.04,0.00,1110.00,-33.39
7:00:00 PM,30.55,0.00,1110.00,-33.39
8:00:00 PM,33.09,0.00,1110.00,-33.39
9:00:00 PM,28.94,0.00,1110.00,-33.39
10:00:00 PM,23.14,0.00,1110.00,-33.39
11:00:00 PM,21.88,0.00,1110.00,-33.39
,,,,
,,,,
,,,,
